Name,Price,Top Speed,Type,Power,Tractive Effort,Capacity,Loading speed,Emission,Mass,Start,Lifespan,End,Region
D 1/3,243886,40,Steam,66,20,0,1,78,30,1850,30,1897,EU
Baldwin's Six-Wheels,258666,40,Steam,70,25,0,1,75,20,1850,30,1896,US
Russian Class V Type 1,219698,45,Steam,60,26,0,1,75,33,1850,50,,Asia
Russian Class T Type 1,508250,55,Steam,140,30,0,1,79,30,1857,50,,Asia
4-4-0 The General,476012,45,Steam,130,40,0,1,80,40,1858,30,1908,US
Borsig,329546,45,Steam,90,20,0,1,77,32,1862,30,1910,EU
Russian Class GV,689770,55,Steam,190,50,,,80,31,1863,50,,Asia
Russian Class B,873910,50,Steam,240,90,,,79,35,1871,50,,Asia
2-8-0 Baldwin Class 56,1029862,60,Steam,284,70,0,1,76,50,1871,30,1922,US
BR 53 preuss. G3,728258,50,Steam,200,50,0,1,79,38,1875,30,1927,EU
Russian Class PV,1088014,64,Steam,300,60,,,77,31,1877,50,,Asia
BR 89 preuss. T3,787086,40,Steam,213,40,0,1,79,30,1882,35,1932,EU
Russian Class F Fairlie,1135104,45,Steam,310,130,,,78,90,1884,50,,Asia
2-6-0 Mogul,1455908,75,Steam,400,80,0,1,74,122,1885,40,1935,US
Russian Class OB,1599186,60,Steam,441,95,,,77,52,1890,50,,Asia
PLM 220,1631822,60,Steam,450,75,0,1,77,57,1890,35,1940,EU
Ten Wheeler,2037246,100,Steam,550,160,0,1,73,120,1896,49,1946,US
A 3/5,3704108,100,Steam,1000,115,0,1,77,107,1900,35,1960,EU
4-4-2 Atlantic,2592876,100,Steam,700,100,0,1,75,130,1902,40,1951,US
Russian Class SCH,1674294,75,Steam,460,150,,,76,78,1906,50,,Asia
Russian Class S,3302502,115,Steam,880,140,,,75,76,1910,50,,Asia
BR 75.4 bad. VI c,2131342,90,Steam,580,85,0,1,77,76,1914,40,1970,EU
Russian Class YE,3632034,70,Steam,1000,229,,,76,103,1915,50,,Asia
2-8-2 Mikado,4281192,80,Steam,1173,228,0,1,74,219,1916,35,1965,US
China Railways JF1,4197246,80,Steam,1150,250,,,76,100,1918,50,,Asia
MILW-Class EP-2,12482118,120,Electric,3311,516,0,1,64,240,1919,40,1979,US
Ce 6/8 II Crocodile,6005622,75,Electric,1650,150,0,1,66,128,1921,45,1971,EU
M-300,1926232,100,Diesel (MU),200,30,20,2,72,25,1924,35,,US
Class A3 Flying Scotsman,6239174,120,Steam,1655,135,0,1,74,98,1925,40,1975,EU
4-12-2 Class 9000,13119948,100,Steam,3542,430,0,1,72,355,1926,35,1975,US
Ae 4/7,8519446,100,Electric,2300,196,0,1,69,121,1927,45,1980,EU
Russian Class SU,4552198,115,Steam,1213,104,,,76,85,1927,50,,Asia
ALCO HH 600,1642400,80,Diesel,450,125,0,1,70,93,1930,35,1976,US
Russian Class FD,8348356,85,Steam,2280,233,,,75,134,1931,50,,Asia
Pioneer Zephyr,7727140,177,Diesel (MU),448,80,52,4,71,105,1934,35,,US
CLe 2/4 Roter Pfeil,2707740,125,Electric (MU),315,45,20,2,66,33,1935,40,,EU
Class A4,7661236,145,Steam,1986,158,0,1,75,105,1935,40,1985,EU
4-4-2 Hiawatha,11497238,160,Steam,2940,136,0,1,74,243,1935,35,1985,US
PRR-Class GG1,13491658,160,Electric,3450,291,0,1,63,215,1936,45,1995,US
BR E 94,11024184,90,Electric,3000,363,0,1,66,119,1938,50,1995,EU
4-8-8-4 Big Boy,17349200,130,Steam,4560,602,0,1,73,567,1944,40,1994,US
Alco PA,6734108,188,Diesel,1680,227,0,1,69,139,1946,40,1994,US
Alco PA/PB,13468216,188,Diesel MU,3360,454,0,1,69,278,1946,40,1994,US
Russian Class L,5912642,80,Steam,1620,221,,,74,102,1947,50,,Asia
Re 4/4,7006292,125,Electric,1850,138,0,1,62,57,1948,55,2005,EU
Railbus,1146516,90,Diesel (MU),96,15,15,3,67,13,1950,40,,EU
NoHAB AA16,5466346,120,Diesel,1450,200,0,1,69,108,1954,40,0,EU
Russian Class P36,8559036,125,Steam,2260,170,,,72,135,1954,50,,Asia
Russian Class ED9M,12899072,130,Electric (MU),1560,220,88,16,62,180,1955,50,,Asia
New Haven EP5,11519722,140,Electric,3000,151,0,1,63,159,1955,55,0,US
Russian Class TE3,4578276,100,Diesel,1236,285,,,71,126,1956,50,,Asia
Russian Class TE3 (MU),9156552,100,Diesel (MU),2472,570,0,0,71,252,1956,50,,Asia
BR V 100,2972854,90,Diesel,809,177,0,1,69,62,1958,40,0,EU
EMD GP9,4854472,105,Diesel,1305,288,0,1,72,117,1958,45,2007,US
China Railways RM,3885676,110,Steam,1040,180,,,72,80,1958,50,,Asia
Series 1042,12671694,140,Electric,3300,260,0,1,66,84,1960,50,0,EU
Shinkansen 0 Series,47550976,220,Electric (MU),5920,640,160,8,65,440,1964,50,,Asia
RABDe 12/12 Mirage,13576782,125,Electric (MU),2445,240,57,9,67,180,1965,50,,EU
Russian Class CHS4,19944188,160,Electric,5100,300,,,67,123,1966,50,,Asia
Metroliner,22799788,193,Electric (MU),3200,360,78,6,62,256,1969,40,,US
BR 103.1,30128084,200,Electric,7440,312,0,1,66,114,1970,45,0,EU
BR 218,7061590,140,Diesel,1839,235,0,1,71,80,1971,40,0,EU
EMD SD40-2,11159708,105,Diesel,3000,410,0,1,70,167,1972,50,0,US
EMD AEM-7,17493728,200,Electric,4320,133,0,1,62,92,1975,55,0,US
China Railways DF5,4379736,80,Diesel,1200,325,,,68,138,1976,50,,Asia
TGV,58322728,300,Electric (MU),6450,700,144,16,63,420,1981,50,0,EU
Russian Class VL80S,24360200,110,Electric,6520,662,,,65,192,1982,50,,Asia
China Railways DF4B,9990218,120,Diesel,2650,243,,,66,138,1984,50,,Asia
Re 450 commuter train,19248244,130,Electric (MU),3000,280,99,12,62,221,1988,50,,EU
GE C40-8W,11309680,120,Diesel,3000,483,0,1,67,177,1989,50,0,US
ICE 1,69138318,280,Electric (MU),8800,200,162,18,64,455,1991,50,,EU
Ge E60C-2,15642500,160,Electric,4000,334,0,1,65,176,1992,50,0,US
China Railways SS9G,18940040,170,Electric,4800,169,,,65,126,1998,50,,Asia
Series 246,7821250,160,Diesel,2000,240,0,1,65,80,2000,40,0,EU
BR 185,16424626,160,Electric,4200,300,0,1,60,84,2000,50,0,EU
Speedance Express,54846552,240,Electric (MU),9200,440,102,12,66,564,2000,50,,US
RA2,6149106,100,Diesel (MU),700,120,60,9,67,131,2005,50,,EU
GE P42 DC,12396682,160,Diesel,3170,280,0,1,67,122,2005,55,0,US
China Railways HXD3B,27143236,120,Electric,7200,506,,,65,150,2009,50,,Asia
HHP 8,24296840,200,Electric,6000,250,0,1,66,100,2010,55,0,US
ES1 Lastochka,21483820,160,Electric (MU),2550,330,115,20,61,265,2013,50,,Asia
DUALSTOX,41047520,200,Electric (MU),3800,560,198,24,65,360,2014,50,,EU
Fuxing Hao,75564128,300,Electric (MU),10400,640,144,8,61,544,2016,50,,US
Eurodual,27374376,160,Electric,7000,500,,,64,91,2018,50,,EU
Avelia Liberty,68859472,300,Electric (MU),8000,420,162,9,65,748,2021,50,,US
