Name,Price,Top Speed,Capacity,Loading Speed,Emission,Mass,Start,Lifespan,End,Cargo Type,Region
D 1/3 Coach,141884,40,6,2,,5,1850,25,1870,Passengers,EU
Nikolas,307414,40,13,2,64,20,1850,49,1890,Passengers,Asia
Boxcar 1 (EU),116522,50,4,1,70,5,1850,40,1915,"Plastic,Machines,Tools,Food,Goods",EU
Flatcar with side stakes 1 (EU),116522,50,4,1,70,5,1850,40,1892,"Logs,Steel,Planks,Construction material",EU
Gondola 1 (EU),116522,50,4,1,70,5,1850,40,1950,"Coal,Iron,Stone,Grain",EU
Tank car 1 (EU),145652,50,5,1,65,6,1850,40,1915,"Crude,Oil,Fuel",EU
Bavarian Passenger Car,233062,50,8,2,66,7,1862,29,1890,Passengers,EU
Boxcar 1 (US),203912,50,7,1,70,10,1850,40,1950,"Plastic,Machine,Tools,Food,Goods",US
Flatcar with side stakes 1 (US),203912,50,7,1,68,8,1850,40,1950,"Logs,Steel,Planks,Construction material",US
Gondola 1 (US),203912,50,7,1,70,10,1850,40,1950,"Coal,Iron,Stone,Grain",US
Passenger Car,407858,50,14,2,70,20,1850,25,1880,Passengers,US
Tank car 1 (US),203912,50,7,1,70,10,1850,40,1950,"Crude,Oil,Fuel",US
Boxcar 1 (AS),203912,50,7,1,70,10,1850,50,1950,"Plastic,Machines,Tools,Food,Goods",Asia
Flatcar with side stakes 1 (AS),116522,50,7,1,70,10,1850,50,1950,"Logs,Steel,Planks,Construction material",Asia
Gondola 1 (AS),116522,50,7,1,70,10,1850,50,1950,"Coal,Iron,Stone,Grain",Asia
Tank car 1 (AS),145652,50,7,1,70,10,1850,50,1950,"Crude,Oil,Fuel",Asia
Compartment Car,383010,60,11,4,64,10,1883,35,1915,Passengers,EU
Russo Balt,383010,60,11,2,66,15,1870,49,1910,Passengers,Asia
Boxcar 2 (EU),373700,80,8,2,66,11,1900,45,2000,"Plastic,Machines,Tools,Food,Goods",EU
Flatcar with side stakes 2 (EU),373740,80,8,2,65,10,1900,45,2000,"Logs,Steel,Planks,Construction material",EU
Gondola 2 (EU),373740,80,8,2,65,10,1900,45,2000,"Coal,Iron,Stone,Grain",EU
Tank car 2 (EU),420412,80,9,2,65,10,1900,45,2000,"Crude,Oil,Fuel",EU
Passenger Car with Clearstory,747400,80,16,2,66,25,1875,30,1910,Passengers,US
Boxcar 2 (US),560608,80,12,2,66,15,1900,45,2000,"Plastic,Machine,Tools,Food,Goods",US
Flatcar with side stakes 2 (US),560608,80,12,2,62,12,1900,45,2000,"Logs,Steel,Planks,Construction material",US
Gondola 2 (US),560608,80,12,2,66,15,1900,45,2000,"Coal,Iron,Stone,Grain",US
Tank car 2 (US),560608,80,12,2,66,15,1900,45,2000,"Crude,Oil,Fuel",US
Putilov,653976,80,14,2,65,20,1890,49,1940,Passengers,Asia
Boxcar 2 (AS),373700,80,12,2,62,20,1900,50,2000,"Plastic,Machines,Tools,Food,Goods",Asia
Flatcar with side stakes 2 (AS),373740,80,12,2,62,20,1900,50,2000,"Logs,Steel,Planks,Construction material",Asia
Gondola 2 (AS),373740,80,12,2,62,20,1900,50,2000,"Coal,Iron,Stone,Grain",Asia
Tank car 2 (AS),420412,80,12,2,62,20,1900,50,2000,"Crude,Oil,Fuel",Asia
Six-wheeler,829786,100,14,2,68,15,1900,29,1965,Passengers,EU
Donnerbüchse,1007598,100,17,2,64,20,1921,29,1985,Passengers,EU
Suburban,1126138,100,19,4,62,35,1910,49,1960,Passengers,Asia
Six-Axle Passenger Car,1315344,110,20,2,65,40,1900,30,1965,Passengers,US
BC4,1147494,120,20,2,61,24,1935,35,1995,Passengers,EU
Boxcar 3 (EU),940976,120,13,3,62,18,1950,50,0,"Plastic,Machines,Tools,Food,Goods",EU
Flatcar with side stakes 3 (EU),940976,120,13,3,64,17,1950,50,0,"Logs,Steel,Planks,Construction material",EU
Gondola 3 (EU),940976,120,13,3,61,15,1950,50,0,"Coal,Iron,Stone,Grain",EU
Tank car 3 (EU),1085620,120,15,3,61,15,1950,50,0,"Crude,Oil,Fuel",EU
Boxcar 3 (US),1302890,120,18,3,64,25,1950,50,0,"Plastic,Machine,Tools,Food,Goods",US
Flatcar with side stakes 3 (US),1302890,120,18,3,61,15,1950,50,0,"Logs,Steel,Planks,Construction material",US
Gondola 3 (US),1302890,120,18,3,59,20,1950,50,0,"Coal,Iron,Stone,Grain",US
Tank car 3 (US),1302890,120,18,3,59,20,1950,50,0,"Crude,Oil,Fuel",US
Boxcar 3 (AS),940976,120,18,3,62,30,1950,50,0,"Plastic,Machines,Tools,Food,Goods",Asia
China Type YZ 22,1517870,120,21,2,64,45,1950,49,2000,Passengers,Asia
Flatcar with side stakes 3 (AS),940976,120,18,3,62,30,1950,50,0,"Logs,Steel,Planks,Construction material",Asia
Gondola 3 (AS),940976,120,18,3,62,30,1950,50,0,"Coal,Iron,Stone,Grain",Asia
Tank car 3 (AS),1085620,120,18,3,62,30,1950,50,0,"Crude,Oil,Fuel",Asia
Bilevel Car,2611432,130,33,4,60,48,1988,49,0,Passengers,EU
Einheitswagen II,1806344,140,21,2,60,30,1962,40,2025,Passengers,EU
Bombardier BiLevel,2838540,140,33,4,61,50,1976,40,0,Passengers,US
China Type 25,1892360,140,22,2,63,40,1970,49,0,Passengers,Asia
Streamlined Coach New Mexico,1674284,150,18,1,61,30,1935,35,2000,Passengers,US
Boxcar 4 (EU),2202268,160,20,4,60,25,2000,50,0,"Plastic,Machines,Tools,Food,Goods",EU
Flatcar with side stakes 4 (EU),2202268,160,20,4,60,25,2000,50,0,"Logs,Steel,Planks,Construction material",EU
Gondola 4 (EU),2202268,160,20,4,60,25,2000,50,0,"Coal,Iron,Stone,Grain",EU
Tank car 4 (EU),2202268,160,20,4,60,25,2000,50,0,"Crude,Oil,Fuel",EU
Boxcar 4 (US),2002268,160,20,4,60,25,2000,50,0,"Plastic,Machine,Tools,Food,Goods",US
Flatcar with side stakes 4 (US),2002268,160,20,4,60,25,2000,50,0,"Logs,Steel,Planks,Construction material",US
Gondola 4 (US),2002268,160,20,4,60,25,2000,50,0,"Coal,Iron,Stone,Grain",US
Tank car 4 (US),2002268,160,20,4,60,25,2000,50,0,"Crude,Oil,Fuel",US
China Type 25C,2302346,160,23,2,61,40,1990,49,0,Passengers,Asia
Boxcar 4 (AS),2202268,160,20,4,60,25,2000,50,0,"Plastic,Machines,Tools,Food,Goods",Asia
Flatcar with side stakes 4 (AS),2202268,160,20,4,60,25,2000,50,0,"Logs,Steel,Planks,Construction material",Asia
Gondola 4 (AS),2202268,160,20,4,60,25,2000,50,0,"Coal,Iron,Stone,Grain",Asia
Tank car 4 (AS),2202268,160,20,4,60,25,2000,50,0,"Crude,Oil,Fuel",Asia
Heavyweight 28-1 Parlor,2178276,180,19,1,63,35,1915,35,1980,Passengers,US
All America Golden Sand,2178276,180,19,1,62,35,1950,35,2010,Passengers,US
Einheitswagen IV,2851058,200,22,2,61,42,1981,40,2050,Passengers,EU
Westrail Westfleet,2721464,200,21,1,59,53,1969,40,0,Passengers,US
Egorov 20 2,1185410,200,20,2,61,40,1930,49,1980,Passengers,Asia
TVZ 61 4447,2980652,200,23,2,58,40,2010,49,0,Passengers,Asia
